Roles,Games,# Players,# Minions,% Evil Win,STD-ERROR,ConInt95,Avg Days,Avg Days|Evil Win,Avg Days|Good Win;Roles;Games;# Players;# Minions;% Evil Win;STD-ERROR;ConInt95;Avg Days;Avg Days|Evil Win;Avg Days|Good Win
;"Demon;ScarletWoman;Goblin;Saint;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.5731;0.00495;(0.56341, 0.58279);4.2041;3.82394;4.71445
;"Demon;Assassin;Good;Good;Good;Good;Good";10000;7;1;0.5213;0.005;(0.51151, 0.53109);2.1575;2.32246;1.97786
;"Demon;Assassin;Outsider;Good;Good;Good;Good;Good";10000;8;1;0.4341;0.00496;(0.42439, 0.44381);2.651;3.08063;2.32143
;"Demon;Assassin;Outsider;Outsider;Good;Good;Good;Good;Good";10000;9;1;0.4153;0.00493;(0.40564, 0.42496);2.9302;3.39441;2.60048
;"Demon;Assassin;Godfather;Good;Good;Good;Good;Good;Good;Good";10000;10;2;0.4829;0.005;(0.47311, 0.49269);3.0124;3.43322;2.61942
;"Demon;Assassin;Godfather;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.4753;0.00499;(0.46551, 0.48509);3.2775;3.73911;2.85935
;"Demon;Assassin;Godfather;Outsider;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.4759;0.00499;(0.46611, 0.48569);3.4767;3.95188;3.04522
;"Demon;Assassin;Godfather;DA;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.589;0.00492;(0.57936, 0.59864);4.2752;4.75518;3.58735
;"Demon;Assassin;Godfather;DA;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.592;0.00491;(0.58237, 0.60163);4.4887;4.95963;3.80539
;"Demon;Assassin;PoppyGrower;Good;Good;Good;Good";10000;7;1;0.3957;0.00489;(0.38612, 0.40528);2.4121;2.74501;2.19411
;"Demon;Assassin;Outsider;PoppyGrower;Good;Good;Good;Good";10000;8;1;0.4316;0.00495;(0.42189, 0.44131);2.6535;3.08109;2.32882
;"Demon;Assassin;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good";10000;9;1;0.3276;0.00469;(0.3184, 0.3368);3.1336;3.79701;2.81038
;"Demon;Assassin;Godfather;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;10;2;0.4114;0.00492;(0.40176, 0.42104);3.2441;3.86072;2.81312
;"Demon;Assassin;Godfather;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3436;0.00475;(0.33429, 0.35291);3.5833;4.24767;3.23553
;"Demon;Assassin;Godfather;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3694;0.00483;(0.35994, 0.37886);3.7965;4.58013;3.33746
;"Demon;Assassin;Godfather;DA;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.3037;0.0046;(0.29469, 0.31271);4.3084;5.34409;3.85667
;"Demon;Assassin;Godfather;DA;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3485;0.00476;(0.33916, 0.35784);4.5013;5.59828;3.9145
;"Demon;Assassin;Klutz;Good;Good;Good;Good;Good";10000;8;1;0.4341;0.00496;(0.42439, 0.44381);2.651;3.08063;2.32143
;"Demon;Assassin;Klutz;Outsider;Good;Good;Good;Good;Good";10000;9;1;0.4153;0.00493;(0.40564, 0.42496);2.9302;3.39441;2.60048
;"Demon;Assassin;Godfather;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.4531;0.00498;(0.44334, 0.46286);3.3894;3.93291;2.93911
;"Demon;Assassin;Godfather;Klutz;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.4631;0.00499;(0.45333, 0.47287);3.5947;4.14187;3.12274
;"Demon;Assassin;Godfather;DA;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5739;0.00495;(0.56421, 0.58359);4.7113;5.27792;3.94813
;"Demon;Assassin;Klutz;PoppyGrower;Good;Good;Good;Good";10000;8;1;0.4316;0.00495;(0.42189, 0.44131);2.6535;3.08109;2.32882
;"Demon;Assassin;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good";10000;9;1;0.3276;0.00469;(0.3184, 0.3368);3.1336;3.79701;2.81038
;"Demon;Assassin;Godfather;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.3275;0.00469;(0.3183, 0.3367);3.6716;4.44275;3.29606
;"Demon;Assassin;Godfather;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.3664;0.00482;(0.35696, 0.37584);3.8566;4.70115;3.36821
;"Demon;Assassin;Godfather;DA;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.3441;0.00475;(0.33479, 0.35341);4.5697;5.7771;3.93627
